"country","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","total_tests","tests_1m_pop","population","continent","fatality_rate","population_2020","yearly_change","net_change","density_km2","land_area_km2","migrants_net","fert_rate","med_age","urban_pop_percent","world_share"
"Ethiopia",1172,109,11,3,209,952,4,10,10,109451,954,114693065,"Africa",0.0094,114963588,0.0257,2884858,115,1000000,30000,4.3,19,0.213,0.015
"Albania",1137,15,33,0,872,232,4,395,11,14723,5116,2878052,"Europe",0.029,2877797,-0.0011,-3120,105,27400,-14000,1.62,36,0.635,0
"Hong Kong",1085,2,4,0,1037,44,2,145,5,202930,27087,7491755,"Asia",0.0037,7496981,0.0082,60827,7140,1050,29308,1.3262,45,,0.001
"Tunisia",1077,1,48,0,960,69,2,91,4,51881,4394,11807839,"Africa",0.0446,11818619,0.0106,123900,76,155360,-4000,2.2,33,0.701,0.002
"Latvia",1066,1,24,0,745,297,3,565,13,109071,57777,1887785,"Europe",0.0225,1886198,-0.0108,-20545,30,62200,-14837,1.7167,44,0.686,0
"Zambia",1057,0,7,0,779,271,1,58,4,24275,1324,18334102,"Africa",0.0066,18383955,0.0293,522925,25,743390,-8000,4.6555,18,0.453,0.002
"Costa Rica",1056,9,10,0,669,377,4,207,2,26622,5230,5090096,"North America",0.0095,5094118,0.0092,46557,100,51060,4200,1.7639,33,0.8,0.001
"CAR",1011,49,2,1,23,986,0,210,4,15021,3115,4822133,"Africa",0.002,4829767,0.0178,84582,8,622980,-40000,4.7541,18,0.43,0.001
"South Sudan",994,0,10,0,6,978,0,89,9,3356,300,11182197,"Africa",0.0101,11193725,0.0119,131612,18,610952,-174200,4.7359,19,0.246,0.001
"Paraguay",986,22,11,0,477,498,2,138,2,30004,4211,7124815,"South America",0.0112,7132538,0.0125,87902,18,397300,-16556,2.4455,26,0.616,0.001
"Niger",956,0,64,0,818,74,0,40,3,6033,250,24117639,"Africa",0.0669,24206644,0.0384,895929,19,1266700,4000,6.95,15,0.165,0.003
"Cyprus",944,1,17,0,790,137,4,782,14,117411,97307,1206608,"Asia",0.018,1207359,0.0073,8784,131,9240,5000,1.3375,37,0.668,0
"Sierra Leone",861,9,46,0,454,361,0,108,6,0,0,7961973,"Africa",0.0534,7976983,0.021,163768,111,72180,-4200,4.319,19,0.433,0.001
"Burkina Faso",847,0,53,0,720,74,0,41,3,0,0,20847963,"Africa",0.0626,20903273,0.0286,581895,76,273600,-25000,5.2315,18,0.306,0.003
"Uruguay",821,0,22,0,682,117,5,236,6,43479,12520,3472725,"South America",0.0268,3473730,0.0035,11996,20,175020,-3000,1.98,36,0.961,0
"Georgia",783,26,12,0,605,166,6,196,3,56987,14283,3989785,"Asia",0.0153,3989167,-0.0019,-7598,57,69490,-10000,2.0615,38,0.581,0.001
"Chad",778,19,65,0,491,222,0,47,4,0,0,16380040,"Africa",0.0835,16425864,0.03,478988,13,1259200,2000,5.7973,17,0.233,0.002
"Madagascar",771,13,6,0,168,597,8,28,2,10249,371,27623015,"Africa",0.0078,27691018,0.0268,721711,48,581795,-1500,4.1085,20,0.385,0.004
"Andorra",764,0,51,0,692,21,4,9889,660,3750,48541,77255,"Europe",0.0668,77265,0.0016,123,164,470,,,,0.878,0
"Nicaragua",759,0,35,0,370,354,0,115,5,0,0,6617623,"North America",0.0461,6624554,0.0121,79052,55,120340,-21272,2.42,26,0.572,0.001
"Jordan",739,5,9,0,522,208,5,72,9,187990,18441,10194333,"Asia",0.0122,10203134,0.01,101440,115,88780,10220,2.7723,24,0.915,0.001
"San Marino",671,0,42,0,357,272,1,19779,1238,4466,131643,33925,"Europe",0.0626,33931,0.0021,71,566,60,,,,0.971,0
"Malta",618,0,9,0,534,75,1,1400,20,69025,156361,441445,"Europe",0.0146,441543,0.0027,1171,1380,320,900,1.45,43,0.932,0
"Congo",611,40,20,1,179,412,0,111,4,0,0,5505196,"Africa",0.0327,5518087,0.0256,137579,16,341500,-4000,4.45,19,0.699,0.001
"Jamaica",581,6,9,0,290,282,2,196,3,12389,4185,2960082,"North America",0.0155,2961167,0.0044,12888,273,10830,-11332,1.991,31,0.554,0
"Channel Islands",560,0,45,0,528,13,0,3224,259,10255,59030,173724,"Europe",0.0804,173863,0.0093,1604,915,190,1351,1.502,43,0.298,0
"Mauritania",530,47,23,3,27,480,0,114,5,7654,1650,4637943,"Africa",0.0434,4649658,0.0274,123962,5,1030700,5000,4.585,20,0.569,0.001
"Tanzania",509,0,21,0,183,305,7,9,4,0,0,59569007,"Africa",0.0413,59734218,0.0298,1728755,67,885800,-40076,4.9237,18,0.37,0.008
"Sao Tome and Principe",483,4,12,0,68,403,0,2208,55,175,800,218786,"Africa",0.0248,219159,0.0191,4103,228,960,-1680,4.35,19,0.74,0
"French Guiana",477,0,1,0,185,291,2,1601,3,0,0,297942,"South America",0.0021,298682,0.027,7850,4,82200,1200,3.36,25,0.873,0
"Réunion",471,0,1,0,411,59,1,526,1,17200,19223,894766,"Africa",0.0021,895312,0.0072,6385,358,2500,-1256,2.2735,36,0.998,0
"Palestine",448,1,3,0,368,77,0,88,6,44876,8816,5090250,"Asia",0.0067,5101414,0.0241,119994,847,6020,-10563,3.6677,21,0.8,0.001
"Taiwan",442,0,7,0,423,12,0,19,3,72082,3027,23813214,"Asia",0.0158,23816775,0.0018,42899,673,35410,30001,1.15,42,0.789,0.003
"Cabo Verde",435,14,4,0,193,238,0,783,7,1307,2353,555459,"Africa",0.0092,555987,0.011,6052,138,4030,-1342,2.2885,28,0.68,0
"Togo",433,0,13,0,206,214,0,52,2,19705,2385,8260436,"Africa",0.03,8278724,0.0243,196358,152,54390,-2000,4.3515,19,0.433,0.001
"Uganda",417,4,0,0,72,345,0,9,0,96825,2123,45598170,"Africa",0,45741007,0.0332,1471413,229,199810,168694,5.01,17,0.257,0.006
"Rwanda",359,0,1,0,250,108,0,28,8,66976,5183,12921714,"Africa",0.0028,12952218,0.0258,325268,525,24670,-9000,4.1,20,0.176,0.002
"Isle of Man",336,0,24,0,309,3,0,3953,282,4892,57556,84995,"Europe",0.0714,85033,0.0053,449,149,570,,,,0.534,0
"Mauritius",335,0,10,0,322,3,0,263,8,116937,91961,1271594,"Africa",0.0299,1271768,0.0017,2100,626,2030,0,1.3885,37,0.408,0
"Vietnam",328,0,0,0,279,49,1,3,0,275000,2827,97262917,"Asia",0,97338579,0.0091,876473,314,310070,-80000,2.0556,32,0.377,0.012
"Montenegro",324,0,9,0,315,0,0,516,14,10167,16188,628060,"Europe",0.0278,628066,0.0001,79,47,13450,-480,1.7506,39,0.676,0
"Yemen",323,13,80,3,14,229,0,11,3,120,4,29764568,"Asia",0.2477,29825964,0.0228,664042,56,527970,-30000,3.8372,20,0.384,0.004
"Liberia",288,8,27,0,157,104,0,57,5,0,0,5046473,"Africa",0.0938,5057681,0.0244,120307,53,96320,-5000,4.35,19,0.526,0.001
"Eswatini",285,2,2,0,189,94,0,246,2,4994,4308,1159118,"Africa",0.007,1160164,0.0105,12034,67,17200,-8353,3.0257,21,0.3,0
"Malawi",279,0,4,0,42,233,1,15,2,3372,177,19082694,"Africa",0.0143,19129952,0.0269,501205,203,94280,-16053,4.25,18,0.185,0.002
