"country","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","total_tests","tests_1m_pop","population","continent","fatality_rate","population_2020","yearly_change","net_change","density_km2","land_area_km2","migrants_net","fert_rate","med_age","urban_pop_percent","world_share"
"Belize",18,0,2,0,16,0,0,45,5,1572,3960,396969,"North America",0.1111,397628,0.0186,7275,17,22810,1200,2.32,25,0.461,0
"Fiji",18,0,0,0,15,3,0,20,0,2431,2714,895890,"Australia/Oceania",0,896445,0.0073,6492,49,18270,-6202,2.7874,28,0.591,0
"Saint Lucia",18,0,0,0,18,0,0,98,0,1012,5513,183556,"North America",0,183627,0.0046,837,301,610,0,1.4442,34,0.186,0
"Dominica",16,0,0,0,16,0,0,222,0,433,6016,71971,"North America",0,71986,0.0025,178,96,750,,,,0.741,0
"Suriname",15,3,1,0,9,5,0,26,2,782,1334,586178,"South America",0.0667,586632,0.009,5260,4,156000,-1000,2.4298,29,0.651,0
"Falkland Islands",13,0,0,0,13,0,0,3746,0,503,144957,3470,"South America",0,3480,0.0305,103,0,12170,,,,0.66,0
"Greenland",13,0,0,0,11,2,0,229,0,2141,37719,56762,"North America",0,56770,0.0017,98,0,410450,,,,0.873,0
"Turks and Caicos",12,0,1,0,11,0,0,310,26,129,3336,38670,"North America",0.0833,38717,0.0138,526,41,950,,,,0.893,0
"Montserrat",11,0,1,0,10,0,0,2204,200,61,12220,4992,"North America",0.0909,4992,0.0006,3,50,100,,,,0.096,0
"Seychelles",11,0,0,0,11,0,0,112,0,0,0,98295,"Africa",0,98347,0.0062,608,214,460,-200,2.46,34,0.562,0
"Western Sahara",9,0,1,0,6,2,0,15,2,0,0,595945,"Africa",0.1111,597339,0.0255,14876,2,266000,5582,2.4149,28,0.868,0
"British Virgin Islands",8,0,1,0,7,0,0,265,33,167,5527,30214,"North America",0.125,30231,0.0067,201,202,150,,,,0.524,0
"Papua New Guinea",8,0,0,0,8,0,0,9,0,2402,269,8931472,"Australia/Oceania",0,8947024,0.0195,170915,20,452860,-800,3.5883,22,0.131,0.001
"Caribbean Netherlands",6,0,0,0,6,0,0,229,0,424,16182,26202,"North America",0,26223,0.0094,244,80,328,,,,0.75,0
"St. Barth",6,0,0,0,6,0,0,608,0,137,13875,9874,"North America",0,9877,0.003,30,470,21,,,,0,0
"Anguilla",3,0,0,0,3,0,0,200,0,41,2735,14991,"North America",0,15003,0.009,134,167,90,,,,,0
"Lesotho",2,0,0,0,1,1,0,9,0,283,132,2140792,"Africa",0,2142249,0.008,16981,71,30360,-10047,3.1641,24,0.315,0
"China",83001,2,4634,0,78304,63,3,58,3,0,0,1439323776,"Asia",0.0558,1439323776,0.0039,5540090,153,9388211,-348399,1.69,38,0.608,0.185
